80	X, a Lutheran Mission at Tellicherry, compiled grammar of Malayalam and helped in translation of Bible into Malayalam. Identify X.	Rev. Dr. Hermann Gundert//Dr. Hermann Gundert//Hermann Gundert//Dr Hermann Gundert//Rev. Hermann Gundert//Rev Hermann Gundert	
81	 Associated with the Hamburg university and Max Planck Institute, he was recently awarded for developing a model of climate variability. Identify this German scientist.	Klaus Hasselmann	
82	This German immigrant to New York, designed heavy cotton work pants, that became popular among the miners, lumberjacks, and farmers. Name this immigrant.	Levi Strauss	
83	"Call a bike"  is a cycling rental system introduced by the ____________.	Deutsche Bahn	
84	He was recently appointed to a world body for research on disarmament. Name this German personality	Robin Geiss	
85	Identify this German breed of highly energetic dog. <img src="/img/qm/85.jpg" />	WEIMARANER//Weimaraner	
86	Invented by a German aristocrat, during World War I, the German military used it extensively as bombers. The invention has a Rock Band named after it. Name the invention. <img src="/img/qm/86.jpg" />	Zeppelin	
87	Who created this iconic and monumental iron sculpture which represents reunification of Germany. <img src="/img/qm/87.jpg" />	Eduardo Chillida	
88	X is a fresh water body which lies at a tri point of Germany and two of its neighbours. It also has a number of islands located in it. Name X.	Lake Constance//Bodensee//Konstanz	
89	European Film Academy decideded to introduce a new category within its awards to celebrate the great achievements in European fiction series. Name the German series that won the award in the year 2019.	Babylon Berlin	
90	Intentionally asymmetric and erected in consecutive stages,  this temple of friendship was dedicated to the life and work of Richard Wagner, who died before he could set foot in the building. Identify the structure.	Neuschwanstein Castle	
91	His astronomical tables proved indispensible for navigation on the voyages of discovery. A crater on the moon bears his name. Who is this great mathematician?	Regiomontanus//Johannes Müller von Königsberg//Johannes Muller von Konigsberg	
92	Test flight of X conducted in 2021, lasted  for 3-minute, demonstrating its seamless integration into the logistics supply chain with an end-to-end cargo transport demonstration. Identify X.	VoloDrone	
93	Marriage of X , a German Prince to a certain Queen of Great Britain was not well received by the British public who thought he did not belong to a state equally illustrious. Identify X.	Prince Albert//Francis Albert Augustus Charles Emmanuel	
94	What is the name of the highest peak in Germany which is also home to a research station to conduct climate research?	Zugspitze	
95	Often compared to Ernest Hemingway, he wrote a landmark war protest novel, describing the horror of trench warfare. Name the author.	Erich Maria Remarque	
96	Partially ruined, this castle was perhaps the inspiration for a fantasy novel supposed to be an early example of science fiction. Name the castle.	Frankenstein’s Castle//Frankenstein//Frankensteins Caste	
97	Name the German city where you will find this metal sculpture. <img src="/img/qm/97.jpg" />	Munich//Munchen	
98	An important agreement in the 16th century, it resulted in reducing strife in the princely states by allowing dissenters to emigrate to other lands. Name the agreement.	Peace of Augsburg//Augsburg settlement	
99	Composed in the beginnning of the 19th century, it is one of the best-known compositions in classical music. Listen carefully and identify the composition.	Symphony No. 5//Fate//Symphony No 5	
100	Born in the state of Hesse in Germany, she had stong links with the royal families of United Kingdom and Russia. Identify this German princess.	Princess Alix//Alexandra Feodorovna	
101	X is a German healthcare manufacturer located in Saxony, whose invention made it possible for injured veterans from World War I to have near normal body motion. Identify X.	Otto Bock	
102	This West German city was considered suitable as the capital city as it was "a city without a past". Identiy the city.	Bonn	
103	Name the largest bituminous or soft coalfield in Europe that accounts for more than 80 percent of Germany's coal production.	Ruhr//Ruhrgebiet	
104	This was the venue of an important historical development in the city of Frankfurt in 1848. Identiify the venue. <img src="/img/qm/104.jpg" />	Paulskirche//St Paul's church//St Paul's Church//St Pauls Church	
105	Born in 1868, the aspiring chemist is associated with several Germany universities including the University of Heidelberg. Towards the end of 19th century, he moved to the University of Karlsruhe and developed his trademark reaction, involving synthesis of ammonia under high pressure and temperature.	Fritz Haber	
106	X , a automobile company is ready to set up its European factory in the homeland of German automoblie giants. Concerns have been raised about X following German laws on environment, labour etc. Identify X	Tesla	
107	X, a gothic masterpiece with beautiful stained glass windows was built in stages over centuries. Identify X 	Cologne Cathedral	
108	In which year did Germany celebrate the 20th anniversary of the second reunification?	2010	
109	Often referred to as the Battle of the Nations, this battle in 1813 ultimately ended Napoleon's control over Germany and set the stage for the final campaign against Napoleon in 1814, and again at Waterloo in 1815. What is the other well known name of this battle?	Battle of Leipzig	
110	Festival started in 2001. The overnight event celebrates the industrial heritage of a certain region in Germany. Identify the festival	ExtraSchicht	
111	The pioneering X had 2600 relays, used punched tape for data entry, and an error-detecting code. Identify X	Z3//Z 3	
112	_____________ were the first ethnic group to have been the inhabitants of Germany.	Celts	
113	Lead-pouring and fortune telling is associated with which German tradition?	Bleigiessen	
114	Identify the flower which became associated with Germany in the 19th century. <img src="/img/qm/114.jpg" />	Cornflower//Cyani flower	
115	His main goal was to build a self-improving AI smarter than himself. Recipient of numerous awards ,  he aims at building the first practical general purpose AI. He is also advising various governments on AI strategies.. Name this German personality.	Jürgen Schmidhuber//Jurgen Schmidhuber	
116	The airbag and seat belt tightener were cutting-edge innovations in safety 40 years ago. A limited number of sedans were delivered with this new technology, considered a milestone in vehicle safety in a long line of outstanding innovations from the brand.Name the automobile brand	Mercedes-Benz S-Class//Mercedes Benz//Mercedes//Mercedes Benz S Class	
117	A castle named after the hill on which it is built, It was the seat of a dynasty whose members later became the emperors of Germany. Identify this castle. <img src="/img/qm/117.jpg" />	Hohenzollern Castle	
118	Germany will return artefacts to a certain country. What is the name for this collection of artefacts?	Benin Bronzes//Benin Bronze	
119	He is considered the master of realistic fiction in Germany. He served for several years in England as correspondent for two Prussian newspapers and wrote several books on English life, including Ein Sommer in London. Identify the author.	Theodor Fontane	
120	Also known as Weisslacker, this semi-hard German original is traditionally consumed with beer. What are we talking about?	Beer Cheese	
121	X is an annual trade show that attracts national and foreign exhibitors of primary products. What is the fair known as?	ExpoSE//Expose	
122	Discovered by Robert Bunsen its compounds is used as a drilling fluid, for make special optical glass and in radiation monitoring equipment. Name the discovery.	Cesium	
123	Identify the hills. <img src="/img/qm/123.jpg" />	The Chalk Cliffs//Chalk cliffs//chalk cliffs//chalkcliffs	Ancient skeletons of calcite-covered planktons
124	Identify the famous German  personality. <img src="/img/qm/124.jpg" />	Wilhelm Conrad Rontgen	His achievement earned him the inaugural Nobel Prize in Physics.
125	Identify the enterprise . <img src="/img/qm/125.png" />	Faber-Castell//Faber Castell	Family owned enterprise
126	Identify the  person. <img src="/img/qm/126.png" />	Joachim Gauck	A politician 
127	Identify the logo. <img src="/img/qm/127.png" />	LUFTHANSA//Lufthansa//lufthansa	Renamed in 1933. associated with passenger transport
128	In which German city is the building located? <img src="/img/qm/128.png" />	Stuttgart//stuttgart	Cube shaped , it is a heaven for those who love to read.
129	Identify the historic landmark. <img src="/img/qm/129.jpg" />	Reichstag//Bundestag	Centre of German politics 
130	Where in Germany do you find such kind of houses? <img src="/img/qm/130.jpg" />	Black Forest//Black Forest Region//BLACK FOREST//BLACK FOREST REGION	Living quarters are combined with animals and grain barn 
131	Identify the event <img src="/img/qm/131.jpg" />	Rhine in flames//Rhein in Flammen	Event is held at different sites along a particular river.
132	Identify the formal headdress.	Bollenhut//BOLLENHUT	Supposed to have inspired the top layer of the Black Forest Cake.
133	The book can be identified by the picture. Name the author.	Günter Grass//Gunter Grass	
134	Identify the famous German personality	Christian Friedrich Samuel Hahnemann	German physician known for a system of alternative medicine 
135	What does the logo represent?	AUTOBAHN//Autobahn//autobahn	They are named by using the capital letter A 
136	Identify the building. 	Commerzbank	World's first so-called ecological skyscraper
